"stare at, gaze at",凝视,*
look around ,环视,
wink at (sb.),向某人眨眼示意,*
blink (one's) eyes ,眨眼,
roll (one's) eyes ,翻白眼,*
"take a good look at, take a close look at",仔细看,
catch a quick glimpse of ,快速看,*
"glare at an angry look at (sb.) , shoot an angry look at (sb.) ",怒视某人,
glance at,瞥见；看一下,
"peek at, peep at ",偷看；窥视,
fix eyes on ,盯着,*
widen (one's) eyes ,睁大眼睛,
"eye (sb.) up and down, look (sb.) up and down",上下打量某人,*
exchange a glance with (sb.),与某人交换眼色,*
"drop (one's) eyes, drop (one's) gaze",垂下眼睛/目光,*
shut (one's) eyes tightly ,紧闭双眼,
"look straight into (one's) eyes, look (sb.) straight in the eye(s)",直视某人的眼睛,*
