"tap (one's) feet, stamp (one's) feet",跺脚,*D,,
plant (one's) feet ,站稳脚跟,*D,,
stand on tiptoe,踮着脚尖站着,*D,,
walk on tiptoe,踮着脚尖走,D,,
tiptoe to the bed,蹑手蹑脚地走到床边,D,,
walk on the street aimlessly ,漫无目的地走在大街上,D,,
struggle to (one's) feet,挣扎着站起来,*D,,
"jump to (one's) feet, leap to (one's) feet",跳起来,D,,
spring to (one's) feet,一跃而起,*D,,
"quicken (one's) pace, quicken (one's) steps",加快脚步,*D,,
put (one's) feet up ,把脚抬起来,D,,
stagger to (one's) feet ,摇摇晃晃地站起,*D,,
on tiptoe(s),踮起脚,D,,
drag (one's) feet ,拖着脚走,*D,,
