hand in hand ,手拉手,*D
"stretch out a hand, reach out a hand ",伸手,D
clasp (one's) hands ,紧握双手,*D
cup (one's) hand(s),用手窝成杯状,D
"take (one's) hand, take (sb.) by the hand ",牵某人的手,D
reach for (one's) hand ,伸手抓住某人的手,D
wave (sb.) goodbye ,与某人挥手告别,*D
grasp (sth.) with both hands ,双手抓紧某物,D
put (one's) hands to (one's) cheeks ,用双手捂住脸,*D
"throw (oneself) into (sb.'s) arms, run into (sb.'s) arms",投入某人的怀抱,*D
wave (one's) arms ,挥舞手臂,D
throw (one's) arms around ,抱住,D
clap (one's) hands ,拍手,D
spread (one's) hands ,摊开双手,*D
pat (sb.) on the shoulder,拍某人肩膀,*D
grab (sb.) by the arm ,抓住某人的胳膊,D
hold (sth.) tightly in (one's) hand,手里紧紧拽着某物,D
"take (sb.) in (one's) arms, catch (sb.) in (one's) arms",抱着某人,D
