turn (one's) head ,转头,D
shake (one's) head ,摇头,D
raise (one's) head ,抬头,D
"lower (one's) head, duck (one's) head ,bend (one's) head ,hang (one's) head",低头,*D
feel (one's) head spinning ,觉得天旋地转,*D
"put (one's) head in (one's) hands, hold (one's) head in (one's) hands ",双手抱头,D
nod (one's) head ,点头,D
scratch (one's) head ,挠头，冥思苦想,*D
hold (one's) head high ,高昂着头,*D
bury (one's) head in ...,把头埋进……,*D
(one's) head droops ,耷拉着脑袋,*D
rest (one's) head on (one's) shoulder ,将头靠在某人的肩膀上,*D
(one's) head shakes like a rattle ,某人的脑袋像拨浪鼓一样摇晃,*D
hang (one's) head in disappointment,垂头丧气地垂下头,D
hang (one's) head in shame,羞愧地垂下头,D
