"get frightened, get scared",感到恐惧,D
"be full of fear, be filled with fear",充满恐惧,D
freeze with terror ,吓呆了,*D
(one's) knees feel weak ,膝盖发软,D
in a cold sweat,（因害怕等）出了一身冷汗,D
a feeling of fear ,恐惧感,D
a tremble of fear ,恐惧引起的颤抖,D
fear creeps over (sb.),恐惧笼罩着某人,*D
in fear of ...,害怕……,D
choke with fear ,因害怕而哽咽,*D
"in panic, in terror",惊恐地,D
tremble from head to toe,全身颤抖,*D
scare (sb.) to death,把某人吓得要死,D
be scared out of (one's) wits ,吓得某人魂不附体,D
face turns pale with fear,害怕得脸色苍白,D
make (one's) flesh creep ,使某人毛骨悚然,*D
make (one's) blood run cold ,使某人不寒而栗,*D
a flood of fear wells up ,一阵恐惧涌上心头,D
have (one's) heart in (one's) mouth ,提心吊胆,D
make (one's) hair stand on end ,使某人毛骨悚然,*D
