slice,n.（切下的食物）薄片；vt.把……切成薄片,*
slice ... off ,切下,*D
onion,n.洋葱；葱头,*
lamb,n.羊羔肉；羔羊,*
lamb kebab,烤羊肉串,D
elegant,adj.精美的；讲究的；文雅的,*
dim sum,n.点心（中国食品）,*
exceptional,adj.特别的；罕见的,*
minimum,n.最小值；最少量；adj.最低（限度）的；最小的,*
consume,vt.吃；喝；饮；消耗,*
temper,n.脾气；火气,
vegetarian,n.素食者,
junk,n.无用的东西,*
junk food,垃圾食品,*D
garlic,n.蒜,*
bacon,n.熏猪肉；咸肉,*
ham,n.火腿,*
sausage,n.香肠；腊肠,*
cabbage,n.甘蓝；卷心菜；洋白菜,*
"bean curd, tofu",n. 豆腐,*D
brand,n.品牌,
olive,n.油橄榄；橄榄树,
fig,n.无花果,
cuisine,n.菜肴；风味；烹饪,*
prior,adj.先前的；优先的,*
prior to,在……之前的,*D
consist,vt. 组成（或构成）,*
consist of,由……组成（或构成）,*D
pepper,n.甜椒；灯笼椒；胡椒粉,*
recipe,n.烹饪法；食谱,*
bold,adj.大胆自信的；敢于冒险的,
chef,n.厨师；主厨,*
peppercorn,n.胡椒粒,
vinegar,n.醋,
stuff,vt.填满；把……塞进,*
ingredient,n.（尤指烹饪）材料；成分,
dessert,n.（饭后）甜点,*
dough,n.生面团,
stable,adj.稳定的；稳重的,
haggis,n.（苏格兰）羊杂碎肚,
canteen,n.食堂；餐厅,*
cafeteria,n.自助餐厅；自助食堂,*
bun,n.圆面包；小圆甜饼,
chilli,n. 辣椒,
chillies,n. 辣椒的复数形式,
pork,n.猪肉,*
red braised pork,红烧肉,*D
pearl,n.珍珠,
somewhat,adv.有点；稍微,*
madam,n.夫人；女士,*
calorie,n.卡路里（热量单位）,*
association,n.协会；关联,*
regardless,adv.不顾；不加理会,*
regardless of,不管；不顾,*D
category,n.类别；种类,*
vitamin,n.维生素,
fibre,n.纤维；纤维制品,*
dairy,adj.奶制的；乳品（业）的；n.乳制品；乳品店；牛奶厂,
quantity,n.数量；数药；,
moderation,n.适度；合理,
ideal,adj.完美的；理想的；想象的n.理想；完美的人（或事物）,*
fundamental,adj.根本的；基础的；基本的n.基本规律；根本法则,*
chew,vi.& vt.咀嚼；嚼碎；n.咀嚼,*
consistent,adj .一致的；连续的,*
modest,adj.些许的；谦虚的；朴索的,
trick,n.诀窍；计谋；把戏,*
overall,adv.总体上；大致上；adj.全面的；综合的,*
Kazak,adj.哈萨克族的；n.哈萨克族人,Z
St Andrews,圣安德鲁斯（英国城市）,Z
