airline,n.航空公司,*
bay,n.（海或湖的）湾,*
craft,n.手艺；工艺；技艺,
antique,n.古物；古董/adj.古老的；古董的,*
pleasant,adj.令人愉快的；友好的,*
arise,vt. 起身；出现；由……引起,*
massive,adj.巨大的；非常严重的,*
literally,adv.字面上；真正地,*
breath,n.呼吸的空气,*
take (sb's) breath away,令人惊叹,*D
bound,adj.准备前往（某地）；一定会,*
scenery,n.风景；景色,
awesome,adj.令人惊叹的；可怕的；很好的,*
spectacular,adj.壮观的；壮丽的；惊人的n.壮丽的场面；精彩的表演,
peak,n.顶峰；山峰；尖形,*
highlight,n.最好或最精彩的部分；vt.突出；强调；使醒目,*
goat,n.山羊,*
grizzly bear,n.灰熊,*
drill,vi.& vt.钻（孔）；打（眼）；n.钻（头）；训练；演习,*
freezing cold,极冷的；冻僵的,*D
freezing,adj.极冷的；冰冻的,*
freeze,vi.& vt.结冰；（使）冻住,*
mall,购物商场；购物广场,
prairie,n.北美草原,
anticipate,vt.预料；预见；期望,*
bunch,n.束；串；捆,*
a bunch of,一束；一串；一群；大量,*D
thunder,vi.打雷；轰隆隆地响；轰隆隆地快速移动n.雷声；轰隆声,*
frost,n.霜；严寒天气；霜冻；vt.使蒙上霜vi.结霜,*
curtain,n.窗帘,*
border,n.国界；边界（地区）,*
duration,n.持续时间；期间,*
harbour,n.（海）港；港口,
enrol,vi.& vt.（使）加入；注册；登记,
quarry,n.采石场,
idiom,n.习语；成语,*
contrary,adj.相反的；相对立的；n.相反的事实（或事情）,*
contrary to,相反的；相对立的,*D
anyhow,adv.（结束交谈或转换话题时）不过；反正,*
alongside,prep.在……旁边；与……一起adv.在旁边,*
proceed,vi.行进；继续做,*
proceed to (sth),进而做（参加）,*D
shore,n.岸；滨,*
astonish,vt.使十分惊讶；使吃惊,*
misty,adj.多雾的；模糊的,*
mist,n.薄雾；水汽,*
steel,n.钢；钢铁工业,*
dusk,n.黄昏；傍晚,
"advertisement, informal ad",n.广告；启事,*
accent,n.口音,*
photographer,n.摄影师；拍照者,*
owe,vt.欠（账、债、情等）,*
owe (sth) to (sb),欠（某人情）；把……归功于某人,*D
toast,n.烤面包片；吐司；干杯；vt.为……干杯；vt.& vi.烤（尤指面包）,*
cobblestone,adj.铺有鹅卵石的,
coherent,adj.有条理的；清楚易懂的,
Halifax,哈利法克斯（加拿大城市）,Z
Vancouver,温哥华（加拿大城市）,Z
Lake Louise,路易斯湖,Z
Jasper,贾斯珀（加拿大城市）,Z
Toronto,多伦多（加拿大城市）,Z
Edmonton,埃德蒙顿（加拿大城市）,Z
Winnipeg,温尼伯（加拿大城市）,Z
Ontario,安大略省（加拿大）,Z
Butchart Gardens,布查特花园,Z
Lake Huron,休伦湖,Z
Quebec City,魁北克市（加拿大城市）,Z
Montreal,蒙特利尔（加拿大城市）,Z
Niagara Falls,尼亚加拉瀑布,Z
St Lawrence,圣劳伦斯河,Z
Jean-Philippe,让-菲利普,Z
Nova Scotia,新斯科舍省（加拿大）,Z
